strategy_id,strategy_name,strategy_category,hypothesis,best_variation,total_variations,valid_variations,selection_mode,cagr,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,consistency_score,beat_benchmark,total_trades,profit_factor,score,parameter_stability,oos_best_variation,oos_validation_score,oos_test_score,oos_test_mean_excess,oos_test_consistency,walk_forward_score,walk_forward_mean_excess,walk_forward_windows
keltner_oversold_value_pbv,Keltner Channel Oversold (Value (PBV)),multi_factor,Touches of the lower Keltner Channel often precede mean reversion in range-bound markets. This effect is stronger among low-PBV stocks.,keltner_oversold_value_pbv_period30_atrPeriod14_multiplier2.0_max1.6,24,9,walk_forward,18.56,86.66,0.96,2.2,-15.16,1.22,43.4,61.9,27,226,1.35,1.2498,0.499,"",0.0,0.0,0.0,0.0,-inf,2.52,31
volatility_regime_low,Volatility Regime Low,regime,Low-volatility regimes favor trend continuation strategies.,volatility_regime_low_v0,1,1,walk_forward,37.37,220.3,1.13,3.11,-20.24,1.85,38.5,69.0,26,174,1.39,1.2107,0.0,"",0.0,0.0,0.0,0.0,-inf,8.33,30
supertrend_low_debt,Supertrend Continuation (Low Debt (DE)),multi_factor,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger among low-debt stocks.,supertrend_low_debt_period14_multiplier2.0_max0.8,64,44,walk_forward,57.37,427.3,1.13,5.18,-22.92,2.5,40.8,71.4,27,422,1.6,1.1149,0.651,"",0.0,0.0,0.0,0.0,10.5918,11.94,34
sma_crossover_syariah,SMA Crossover Trend (Syariah),trend,SMA crossovers capture sustained trends while reducing noise. This effect is stronger within the syariah universe.,sma_crossover_syariah_shortPeriod20_longPeriod50_maxHoldingDays60_percent30,180,65,walk_forward,23.15,114.6,1.1,3.39,-17.22,1.34,30.0,64.3,26,150,1.23,1.0321,0.54,"",0.0,0.0,0.0,0.0,-inf,8.16,34
bollinger_bounce_value_pe,Bollinger Band Bounce (Value (PE)),multi_factor,Prices often revert after touching the lower Bollinger Band during stable regimes. This effect is stronger among low-PE stocks.,bollinger_bounce_value_pe_period20_stdDev2.2_max15,18,5,walk_forward,22.94,113.25,1.25,5.14,-14.31,1.6,44.1,71.4,23,211,1.33,1.0233,0.503,"",0.0,0.0,0.0,0.0,8.1454,3.64,32
pivot_support_base,Pivot Support Bounce (Baseline),mean_reversion,Prices tend to bounce after testing pivot support levels due to order clustering.,pivot_support_base_v0,1,1,walk_forward,37.7,223.14,1.22,3.47,-21.84,1.73,45.4,64.3,26,872,1.23,1.0228,0.0,"",0.0,0.0,0.0,0.0,5.7782,8.39,26
supertrend_value_pbv,Supertrend Continuation (Value (PBV)),multi_factor,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger among low-PBV stocks.,supertrend_value_pbv_period14_multiplier2.5_max1.6,12,12,walk_forward,36.9,216.31,1.04,2.76,-19.01,1.94,39.7,69.0,24,375,1.13,0.9692,0.538,"",0.0,0.0,0.0,0.0,7.2278,5.84,32
supertrend_syariah_atr_risk,Supertrend Continuation + ATR Risk (Syariah),trend,ATR-based exits scale with volatility and improve risk-adjusted returns.,supertrend_syariah_atr_risk_period14_multiplier2.5_atrMultiplier2.5_riskRewardRatio2.5_maxHoldingDays60,108,42,walk_forward,49.04,331.94,1.35,2.58,-28.14,1.74,32.9,73.8,30,170,1.31,0.9217,0.486,"",0.0,0.0,0.0,0.0,9.2335,12.57,34
supertrend_syariah_lowvol,Supertrend Continuation + Low-Vol Regime (Syariah),trend,"Trend-following performs better in low-volatility, risk-on regimes.",supertrend_syariah_lowvol_period10_multiplier2.5_period15_lookback90_maxHoldingDays60_percent25,144,124,walk_forward,54.55,393.47,1.26,4.21,-20.15,2.71,37.4,64.3,28,163,1.89,0.9168,0.56,"",0.0,0.0,0.0,0.0,18.2237,14.35,34
volume_spike_syariah,Volume Spike (Syariah),volume,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger within the syariah universe.,volume_spike_syariah_period30_threshold1.5_maxHoldingDays21_percent22,108,92,walk_forward,54.18,389.1,0.93,4.16,-24.12,2.25,39.8,64.3,28,377,1.59,0.7982,0.417,"",0.0,0.0,0.0,0.0,20.9081,18.81,34
sma_crossover_liquid,SMA Crossover Trend (High Liquidity),trend,SMA crossovers capture sustained trends while reducing noise. This effect is stronger in highly liquid stocks.,sma_crossover_liquid_shortPeriod30_longPeriod100_minDailyValue1000000000_maxHoldingDays60_percent25,162,49,walk_forward,11.53,49.21,0.67,1.13,-14.38,0.8,32.8,61.9,26,116,1.1,0.7763,0.535,"",0.0,0.0,0.0,0.0,-inf,0.64,34
volume_spike_low_debt,Volume Spike (Low Debt (DE)),multi_factor,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger among low-debt stocks.,volume_spike_low_debt_period20_threshold1.5_max0.8,18,5,walk_forward,37.97,225.52,1.09,2.03,-26.87,1.41,34.9,73.8,30,439,1.17,0.7262,0.499,"",0.0,0.0,0.0,0.0,9.7479,8.56,31
adx_trend_value_pe,ADX Trend Strength (Value (PE)),multi_factor,Trends with stronger ADX are more likely to continue. This effect is stronger among low-PE stocks.,adx_trend_value_pe_period20_threshold20_max15,18,15,walk_forward,39.34,237.51,1.21,1.97,-27.69,1.42,36.8,73.8,27,334,1.04,0.6988,0.456,"",0.0,0.0,0.0,0.0,5.5609,5.71,34
donchian_breakout_base,Donchian Breakout (Baseline),breakout,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter.,donchian_breakout_base_period30_maxHoldingDays30_percent20,27,7,walk_forward,23.28,115.38,0.76,1.92,-21.07,1.1,35.0,69.0,25,357,1.15,0.6721,0.542,"",0.0,0.0,0.0,0.0,9.5847,5.79,27
parabolic_sar_value_pbv,Parabolic SAR Trend (Value (PBV)),multi_factor,Parabolic SAR flips track trend changes efficiently in trending markets. This effect is stronger among low-PBV stocks.,parabolic_sar_value_pbv_afMax0.15_afStep0.02_max1.6,12,8,walk_forward,31.51,173.04,0.92,2.08,-22.28,1.41,37.7,66.7,23,369,1.02,0.6409,0.579,"",0.0,0.0,0.0,0.0,7.3275,4.05,32
sma_trend_value_pe,SMA Trend Filter (Value (PE)),multi_factor,Staying aligned with the prevailing SMA trend improves win rate. This effect is stronger among low-PE stocks.,sma_trend_value_pe_shortPeriod20_longPeriod50_max12,12,12,walk_forward,42.08,262.51,1.3,3.77,-20.25,2.08,39.5,71.4,26,357,1.21,0.6034,0.47,"",0.0,0.0,0.0,0.0,4.4051,6.21,34
volume_spike_base,Volume Spike (Baseline),volume,Unusual volume signals informed participation and continuation risk/reward.,volume_spike_base_period10_threshold1.5_maxHoldingDays21_percent15,108,86,walk_forward,51.56,359.37,1.27,5.4,-19.85,2.6,44.5,66.7,24,398,1.48,0.584,0.453,"",0.0,0.0,0.0,0.0,10.2448,9.49,34
pivot_support_value_pbv,Pivot Support Bounce (Value (PBV)),multi_factor,Prices tend to bounce after testing pivot support levels due to order clustering. This effect is stronger among low-PBV stocks.,pivot_support_value_pbv_max1.6,3,3,walk_forward,31.71,174.51,0.97,2.19,-21.98,1.44,39.4,66.7,25,358,1.1,0.5403,0.519,"",0.0,0.0,0.0,0.0,8.8424,6.34,34
sma_trend_value_pbv,SMA Trend Filter (Value (PBV)),multi_factor,Staying aligned with the prevailing SMA trend improves win rate. This effect is stronger among low-PBV stocks.,sma_trend_value_pbv_shortPeriod30_longPeriod100_max1.6,12,5,walk_forward,27.51,143.78,0.76,2.04,-22.37,1.23,36.6,59.5,24,333,1.22,0.4836,0.495,"",0.0,0.0,0.0,0.0,6.4502,4.98,28
volume_spike_lowvol,Volume Spike + Low-Vol Regime,volume,"Volume spikes are more actionable in low-volatility, risk-on regimes.",volume_spike_lowvol_period10_threshold1.3_period15_lookback60_maxHoldingDays21_percent22,216,82,walk_forward,27.13,141.1,1.04,1.94,-24.51,1.11,41.3,71.4,29,305,1.08,0.4784,0.607,"",0.0,0.0,0.0,0.0,7.5139,4.6,34
pivot_support_largecap,Pivot Support Bounce (Large Cap),mean_reversion,Prices tend to bounce after testing pivot support levels due to order clustering. This effect is stronger in large-cap stocks.,pivot_support_largecap_v0,1,1,walk_forward,35.69,206.19,1.1,2.89,-23.3,1.53,45.3,64.3,24,856,1.2,0.3457,0.0,"",0.0,0.0,0.0,0.0,5.3554,7.56,26
ema_crossover_base,EMA Crossover Trend (Baseline),trend,EMA crossovers capture trend accelerations earlier than SMA-based signals.,ema_crossover_base_shortPeriod8_longPeriod20_maxHoldingDays45_percent20,36,18,walk_forward,30.33,164.14,0.91,2.83,-26.14,1.16,39.4,69.0,28,236,1.32,0.3372,0.568,"",0.0,0.0,0.0,0.0,8.2283,3.03,30
macd_crossover_largecap,MACD Crossover Momentum (Large Cap),momentum,MACD bullish cross captures momentum shifts that persist in the medium term. This effect is stronger in large-cap stocks.,macd_crossover_largecap_fastPeriod12_slowPeriod26_signalPeriod12,8,1,walk_forward,27.47,143.51,0.87,2.72,-24.55,1.12,37.6,64.3,25,346,1.09,0.3288,0.0,"",0.0,0.0,0.0,0.0,3.6934,3.56,24
sma_trend_syariah,SMA Trend Filter (Syariah),trend,Staying aligned with the prevailing SMA trend improves win rate. This effect is stronger within the syariah universe.,sma_trend_syariah_shortPeriod20_longPeriod100_maxHoldingDays30_percent25,36,34,walk_forward,47.37,314.5,0.9,2.84,-25.87,1.83,37.0,61.9,29,276,1.74,0.3191,0.583,"",0.0,0.0,0.0,0.0,23.4236,13.51,34
parabolic_sar_syariah,Parabolic SAR Trend (Syariah),trend,Parabolic SAR flips track trend changes efficiently in trending markets. This effect is stronger within the syariah universe.,parabolic_sar_syariah_afMax0.15_afStep0.02_maxHoldingDays30_percent25,36,12,walk_forward,47.64,317.25,1.14,3.54,-25.53,1.87,39.9,61.9,26,286,1.47,0.3108,0.513,"",0.0,0.0,0.0,0.0,10.7883,6.62,34
volatility_breakout_syariah,Volatility Breakout (Syariah),breakout,Volatility spikes often mark the start of directional moves. This effect is stronger within the syariah universe.,volatility_breakout_syariah_period30_multiplier1.5_maxHoldingDays30_percent15,81,13,walk_forward,27.93,146.74,0.94,3.13,-19.14,1.46,40.1,57.1,27,309,1.4,0.2841,0.556,"",0.0,0.0,0.0,0.0,7.1654,6.19,34
base_breakout_syariah,Base Breakout (Syariah),breakout,Tight bases followed by volume breakouts lead to sustained trend moves. This effect is stronger within the syariah universe.,base_breakout_syariah_basePeriod20_breakoutPct2.5_maxHoldingDays30_percent25,54,34,walk_forward,13.51,59.12,0.75,1.76,-18.9,0.71,32.9,66.7,24,173,1.08,0.2146,0.54,"",0.0,0.0,0.0,0.0,10.5003,4.13,29
cup_and_handle,Cup And Handle,chart_pattern,Cup and handle patterns reflect staged accumulation.,cup_and_handle_v0,1,1,walk_forward,6.19,24.64,0.6,3.03,-9.7,0.64,43.6,52.4,20,133,1.35,0.1936,0.0,"",0.0,0.0,0.0,0.0,1.8745,-0.59,7
volatility_breakout_base,Volatility Breakout (Baseline),breakout,Volatility spikes often mark the start of directional moves.,volatility_breakout_base_period30_multiplier1.5_maxHoldingDays30_percent15,81,22,walk_forward,24.38,122.52,0.71,3.13,-19.32,1.26,39.9,54.8,24,338,1.35,0.1907,0.558,"",0.0,0.0,0.0,0.0,7.7074,6.45,31
sma_crossover_largecap,SMA Crossover Trend (Large Cap),trend,SMA crossovers capture sustained trends while reducing noise. This effect is stronger in large-cap stocks.,sma_crossover_largecap_shortPeriod30_longPeriod100_maxHoldingDays60_percent20,54,19,walk_forward,9.35,38.8,0.65,1.47,-13.31,0.7,34.4,61.9,22,122,1.09,0.1727,0.504,"",0.0,0.0,0.0,0.0,-inf,-0.04,34
vwap_above_low_debt,VWAP Support (Low Debt (DE)),multi_factor,Holding above VWAP indicates institutional support and trend persistence. This effect is stronger among low-debt stocks.,vwap_above_low_debt_period30_max0.4,12,6,walk_forward,29.21,155.9,0.78,3.11,-22.8,1.28,34.4,52.4,24,419,1.24,0.1629,0.585,"",0.0,0.0,0.0,0.0,10.6179,13.22,27
vpt_momentum_value_pbv,Volume Price Trend (Value (PBV)),multi_factor,VPT momentum suggests demand pressure that sustains price trends. This effect is stronger among low-PBV stocks.,vpt_momentum_value_pbv_max1.6,3,3,walk_forward,40.23,245.49,0.88,2.53,-27.53,1.46,36.0,57.1,23,439,1.19,0.0743,0.541,"",0.0,0.0,0.0,0.0,6.4909,4.13,30
supertrend_syariah,Supertrend Continuation (Syariah),trend,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger within the syariah universe.,supertrend_syariah_period21_multiplier2.0_maxHoldingDays60_percent20,144,140,walk_forward,48.68,328.19,0.82,4.98,-20.64,2.36,37.5,54.8,23,285,1.7,0.0608,0.51,"",0.0,0.0,0.0,0.0,21.4932,16.08,34
stoch_oversold_low_debt,Stochastic Oversold Bounce (Low Debt (DE)),multi_factor,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger among low-debt stocks.,stoch_oversold_low_debt_kPeriod14_oversold25_dPeriod3_max0.8_signalWindow7,216,39,walk_forward,22.32,109.32,0.77,1.88,-28.51,0.78,38.3,64.3,25,360,1.18,0.0009,0.539,"",0.0,0.0,0.0,0.0,10.4034,5.35,34
parabolic_sar_base,Parabolic SAR Trend (Baseline),trend,Parabolic SAR flips track trend changes efficiently in trending markets.,parabolic_sar_base_afMax0.15_afStep0.02_maxHoldingDays45_percent25,36,8,walk_forward,24.8,125.29,0.85,1.53,-28.85,0.86,34.6,66.7,29,205,1.14,-0.0852,0.744,"",0.0,0.0,0.0,0.0,-inf,2.98,30
ema_crossover_value_pe,EMA Crossover Trend (Value (PE)),multi_factor,EMA crossovers capture trend accelerations earlier than SMA-based signals. This effect is stronger among low-PE stocks.,ema_crossover_value_pe_shortPeriod8_longPeriod20_max12,12,4,walk_forward,15.59,70.11,0.57,1.06,-18.05,0.86,36.8,54.8,21,223,1.09,-0.0951,0.694,"",0.0,0.0,0.0,0.0,5.0605,-0.4,21
macd_crossover_value_pe,MACD Crossover Momentum (Value (PE)),multi_factor,MACD bullish cross captures momentum shifts that persist in the medium term. This effect is stronger among low-PE stocks.,macd_crossover_value_pe_fastPeriod10_slowPeriod24_signalPeriod12_max15,24,4,walk_forward,8.94,36.9,0.33,0.67,-16.74,0.53,38.0,54.8,24,237,0.99,-0.1657,0.557,"",0.0,0.0,0.0,0.0,2.4173,-1.37,28
seasonality_month_end,Seasonality Month End,seasonality,Month-end flows create systematic strength in the last 3 trading days.,seasonality_month_end_v0,1,1,walk_forward,9.33,38.68,0.48,1.69,-12.83,0.73,42.7,50.0,20,464,1.19,-0.2122,0.0,"",0.0,0.0,0.0,0.0,3.9036,3.1,18
bollinger_bounce_value_pbv,Bollinger Band Bounce (Value (PBV)),multi_factor,Prices often revert after touching the lower Bollinger Band during stable regimes. This effect is stronger among low-PBV stocks.,bollinger_bounce_value_pbv_period20_stdDev1.8_max1.6,18,7,walk_forward,7.25,29.27,0.5,1.03,-16.76,0.43,38.1,61.9,22,270,1.11,-0.2187,0.575,"",0.0,0.0,0.0,0.0,0.2722,-0.3,33
base_breakout_largecap,Base Breakout (Large Cap),breakout,Tight bases followed by volume breakouts lead to sustained trend moves. This effect is stronger in large-cap stocks.,base_breakout_largecap_basePeriod30_breakoutPct2.5_maxHoldingDays30_percent15,54,19,walk_forward,-0.69,-2.49,0.01,0.03,-10.02,0.07,33.3,54.8,19,114,0.83,-0.2996,0.688,"",0.0,0.0,0.0,0.0,-inf,0.55,29
supertrend_syariah_trendfilter,Supertrend Continuation + Trend Filter (Syariah),trend,Supertrend flips are more reliable when the long-term trend is bullish. This effect is stronger within the syariah universe.,supertrend_syariah_trendfilter_period10_multiplier2.5_maxHoldingDays60_percent25,36,4,walk_forward,25.24,128.23,0.71,1.51,-22.43,1.13,33.1,52.4,24,154,1.36,-0.3329,1.0,"",0.0,0.0,0.0,0.0,13.7258,9.67,20
vwap_above_value_pbv,VWAP Support (Value (PBV)),multi_factor,Holding above VWAP indicates institutional support and trend persistence. This effect is stronger among low-PBV stocks.,vwap_above_value_pbv_max1.6,3,3,walk_forward,35.83,207.4,0.89,2.48,-24.22,1.48,37.3,57.1,22,378,1.16,-0.3347,0.676,"",0.0,0.0,0.0,0.0,6.2527,5.29,23
sma_crossover_value_pbv,SMA Crossover Trend (Value (PBV)),multi_factor,SMA crossovers capture sustained trends while reducing noise. This effect is stronger among low-PBV stocks.,sma_crossover_value_pbv_shortPeriod30_longPeriod100_max1.6,18,1,walk_forward,3.57,13.73,0.32,0.73,-12.91,0.28,39.4,50.0,19,170,1.01,-0.3537,0.0,"",0.0,0.0,0.0,0.0,-inf,0.84,19
supertrend_low_debt_atr_risk,Supertrend Continuation + ATR Risk (Low Debt),multi_factor,ATR-based exits improve risk-adjusted returns in low-debt trend followers.,supertrend_low_debt_atr_risk_period10_multiplier2.5_max0.6_atrMultiplier2.5_riskRewardRatio1.5,108,18,walk_forward,37.89,224.83,0.84,3.29,-27.11,1.4,45.4,61.9,29,377,1.39,-0.3734,0.628,"",0.0,0.0,0.0,0.0,17.8585,11.68,31
supertrend_liquid,Supertrend Continuation (High Liquidity),trend,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger in highly liquid stocks.,supertrend_liquid_period14_multiplier2.5_minDailyValue1000000000_maxHoldingDays45_percent20,108,84,walk_forward,22.9,112.98,1.05,1.88,-23.82,0.96,34.8,69.0,23,210,0.95,-0.3859,0.624,"",0.0,0.0,0.0,0.0,-inf,0.93,34
rsi_oversold_value_pbv,RSI Oversold Bounce (Value (PBV)),multi_factor,"After sharp short-term declines, prices mean-revert as selling pressure exhausts. This effect is stronger among low-PBV stocks.",rsi_oversold_value_pbv_period10_oversold35_max1.2,27,5,walk_forward,20.26,96.7,0.72,1.85,-17.13,1.18,36.9,61.9,20,244,1.23,-0.4309,0.488,"",0.0,0.0,0.0,0.0,12.9119,3.88,30
vpt_momentum_largecap,Volume Price Trend (Large Cap),volume,VPT momentum suggests demand pressure that sustains price trends. This effect is stronger in large-cap stocks.,vpt_momentum_largecap_maxHoldingDays21_percent15,9,1,walk_forward,35.06,200.99,1.14,1.95,-29.72,1.18,40.5,66.7,24,405,1.12,-0.4466,0.0,"",0.0,0.0,0.0,0.0,6.499,5.62,29
vwap_above_value_pe,VWAP Support (Value (PE)),multi_factor,Holding above VWAP indicates institutional support and trend persistence. This effect is stronger among low-PE stocks.,vwap_above_value_pe_max15,3,2,walk_forward,42.98,270.97,0.97,3.72,-22.19,1.94,38.5,59.5,23,369,1.1,-0.4491,0.541,"",0.0,0.0,0.0,0.0,7.0926,3.71,22
adx_trend_largecap,ADX Trend Strength (Large Cap),trend,Trends with stronger ADX are more likely to continue. This effect is stronger in large-cap stocks.,adx_trend_largecap_period14_threshold20_maxHoldingDays30_percent25,54,3,walk_forward,33.94,191.95,0.96,3.29,-27.8,1.22,37.5,66.7,26,280,1.23,-0.5009,1.0,"",0.0,0.0,0.0,0.0,10.6756,8.24,29
supertrend_value_pe,Supertrend Continuation (Value (PE)),multi_factor,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger among low-PE stocks.,supertrend_value_pe_period10_multiplier2.5_max8,12,12,walk_forward,21.87,106.49,0.68,1.51,-26.05,0.84,34.7,61.9,23,412,0.97,-0.5119,0.7,"",0.0,0.0,0.0,0.0,4.6486,4.11,28
sma_crossover_base,SMA Crossover Trend (Baseline),trend,SMA crossovers capture sustained trends while reducing noise.,sma_crossover_base_shortPeriod30_longPeriod100_maxHoldingDays60_percent20,54,24,walk_forward,7.06,28.41,0.36,0.62,-15.45,0.46,33.8,54.8,19,130,1.02,-0.623,0.509,"",0.0,0.0,0.0,0.0,-inf,0.66,34
sma_crossover_value_pe,SMA Crossover Trend (Value (PE)),multi_factor,SMA crossovers capture sustained trends while reducing noise. This effect is stronger among low-PE stocks.,sma_crossover_value_pe_shortPeriod30_longPeriod100_max15,18,8,walk_forward,11.8,50.54,0.54,1.23,-16.3,0.72,41.9,50.0,19,160,1.16,-0.6337,0.451,"",0.0,0.0,0.0,0.0,4.3381,1.52,32
accumulation_distribution,Accumulation Distribution,volume,Accumulation/Distribution uptrends signal stealth buying.,accumulation_distribution_maxHoldingDays21_percent22,9,7,walk_forward,31.9,175.97,0.83,2.62,-24.59,1.3,36.4,61.9,21,382,1.17,-0.6531,0.621,"",0.0,0.0,0.0,0.0,6.3501,3.01,29
