strategy_id,strategy_name,strategy_category,hypothesis,best_variation,total_variations,valid_variations,selection_mode,cagr,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,consistency_score,beat_benchmark,total_trades,profit_factor,score,parameter_stability,oos_best_variation,oos_validation_score,oos_test_score,oos_test_mean_excess,oos_test_consistency,walk_forward_score,walk_forward_mean_excess,walk_forward_windows
stoch_oversold_low_debt,Stochastic Oversold Bounce (Low Debt (DE)),multi_factor,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger among low-debt stocks.,stoch_oversold_low_debt_kPeriod14_oversold30_dPeriod5_max0.8_signalWindow3,216,173,walk_forward,94.7,84.19,2.82,2.82,-28.46,3.33,45.2,88.9,8,124,1.57,6.5033,0.305,"",0.0,0.0,0.0,0.0,-inf,-11.5,1
donchian_breakout_largecap,Donchian Breakout (Large Cap),breakout,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter. This effect is stronger in large-cap stocks.,donchian_breakout_largecap_period20,3,3,walk_forward,82.45,73.53,2.13,25.7,-25.65,3.21,40.7,77.8,7,182,1.33,6.4829,0.298,"",0.0,0.0,0.0,0.0,1.441,5.73,1
stoch_oversold_value_pe,Stochastic Oversold Bounce (Value (PE)),multi_factor,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger among low-PE stocks.,stoch_oversold_value_pe_kPeriod10_oversold25_dPeriod3_max8_signalWindow5,216,171,walk_forward,101.39,89.97,2.83,2.83,-18.71,5.42,50.0,100.0,7,134,1.81,6.4288,0.308,"",0.0,0.0,0.0,0.0,7.3271,20.57,1
vpt_momentum_value_pbv,Volume Price Trend (Value (PBV)),multi_factor,VPT momentum suggests demand pressure that sustains price trends. This effect is stronger among low-PBV stocks.,vpt_momentum_value_pbv_max1.6,3,3,walk_forward,108.77,96.35,4.65,4.65,-20.61,5.28,45.5,100.0,9,156,1.55,6.4208,0.37,"",0.0,0.0,0.0,0.0,4.7944,13.87,1
volume_spike_value_pbv,Volume Spike (Value (PBV)),multi_factor,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger among low-PBV stocks.,volume_spike_value_pbv_period20_threshold2.0_max1.6,18,15,walk_forward,83.36,74.33,3.6,3.6,-20.6,4.05,41.5,100.0,7,176,1.41,6.3157,0.253,"",0.0,0.0,0.0,0.0,5.0543,14.61,1
sma_crossover_value_pbv,SMA Crossover Trend (Value (PBV)),multi_factor,SMA crossovers capture sustained trends while reducing noise. This effect is stronger among low-PBV stocks.,sma_crossover_value_pbv_shortPeriod15_longPeriod50_max1.6,18,10,walk_forward,54.35,48.86,2.7,2.7,-12.08,4.5,44.6,88.9,6,101,1.63,6.3148,0.244,"",0.0,0.0,0.0,0.0,5.5905,13.71,1
keltner_oversold_syariah,Keltner Channel Oversold (Syariah),mean_reversion,Touches of the lower Keltner Channel often precede mean reversion in range-bound markets. This effect is stronger within the syariah universe.,keltner_oversold_syariah_period20_atrPeriod14_multiplier1.5,8,8,walk_forward,86.25,76.84,2.39,2.39,-21.95,3.93,40.3,88.9,6,134,1.39,6.1813,0.254,"",0.0,0.0,0.0,0.0,1.318,4.32,1
stoch_oversold_largecap,Stochastic Oversold Bounce (Large Cap),mean_reversion,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger in large-cap stocks.,stoch_oversold_largecap_kPeriod10_oversold30_dPeriod3_signalWindow5,72,64,walk_forward,99.18,88.07,3.37,3.37,-20.64,4.81,46.5,100.0,7,127,1.72,6.1723,0.292,"",0.0,0.0,0.0,0.0,4.9934,14.45,1
sma_trend_high_margin,SMA Trend Filter (High Margin (NPM)),multi_factor,Staying aligned with the prevailing SMA trend improves win rate. This effect is stronger among high-margin companies.,sma_trend_high_margin_shortPeriod30_longPeriod100_min15,12,12,walk_forward,121.8,107.55,2.14,2.14,-20.4,5.97,47.9,77.8,6,117,1.76,6.0949,0.187,"",0.0,0.0,0.0,0.0,5.7888,16.65,1
morning_star,Morning Star,candlestick,Morning star patterns mark multi-day reversal behavior.,morning_star_v0,1,1,walk_forward,77.06,68.83,4.21,4.21,-24.2,3.18,43.7,100.0,7,151,1.46,5.9669,0.0,"",0.0,0.0,0.0,0.0,7.4796,20.08,1
donchian_breakout_value_pbv,Donchian Breakout (Value (PBV)),multi_factor,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter. This effect is stronger among low-PBV stocks.,donchian_breakout_value_pbv_period20_max1.2,9,7,walk_forward,99.92,88.71,3.79,3.79,-17.12,5.84,42.3,100.0,8,168,1.48,5.9489,0.303,"",0.0,0.0,0.0,0.0,1.8414,4.44,1
base_breakout_syariah,Base Breakout (Syariah),breakout,Tight bases followed by volume breakouts lead to sustained trend moves. This effect is stronger within the syariah universe.,base_breakout_syariah_basePeriod20_breakoutPct1.5,6,6,walk_forward,69.24,61.98,2.45,2.45,-16.97,4.08,46.3,88.9,5,108,1.56,5.8291,0.239,"",0.0,0.0,0.0,0.0,-inf,-1.02,1
keltner_oversold_value_pe,Keltner Channel Oversold (Value (PE)),multi_factor,Touches of the lower Keltner Channel often precede mean reversion in range-bound markets. This effect is stronger among low-PE stocks.,keltner_oversold_value_pe_period20_atrPeriod14_multiplier2.0_max15,81,74,walk_forward,116.6,103.09,1.6,11.5,-16.01,7.28,46.6,66.7,6,103,1.64,5.683,0.298,"",0.0,0.0,0.0,0.0,2.4239,5.79,1
obv_trend_value_pbv,OBV Trend (Value (PBV)),multi_factor,OBV uptrends reveal accumulation that precedes price moves. This effect is stronger among low-PBV stocks.,obv_trend_value_pbv_max1.2,3,3,walk_forward,98.51,87.49,3.02,3.02,-20.67,4.77,46.6,100.0,8,148,1.62,5.4811,0.402,"",0.0,0.0,0.0,0.0,9.936,28.58,1
volatility_breakout_high_margin,Volatility Breakout (High Margin (NPM)),multi_factor,Volatility spikes often mark the start of directional moves. This effect is stronger among high-margin companies.,volatility_breakout_high_margin_period30_multiplier1.5_min20,27,15,walk_forward,72.06,64.46,2.31,2.31,-22.5,3.2,42.3,77.8,6,163,1.4,5.2479,0.255,"",0.0,0.0,0.0,0.0,3.5064,10.73,1
rsi_oversold_syariah,RSI Oversold Bounce (Syariah),mean_reversion,"After sharp short-term declines, prices mean-revert as selling pressure exhausts. This effect is stronger within the syariah universe.",rsi_oversold_syariah_period10_oversold25,9,9,walk_forward,96.0,85.31,3.37,3.37,-12.38,7.75,47.8,100.0,6,136,1.78,5.2477,0.312,"",0.0,0.0,0.0,0.0,10.7045,28.41,1
volume_spike_value_pe,Volume Spike (Value (PE)),multi_factor,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger among low-PE stocks.,volume_spike_value_pe_period10_threshold2.0_max12,18,17,walk_forward,75.27,67.26,2.77,25.33,-19.46,3.87,43.6,77.8,7,149,1.39,5.2051,0.262,"",0.0,0.0,0.0,0.0,-inf,-0.49,1
bullish_marubozu,Bullish Marubozu,candlestick,Marubozu candles indicate strong directional conviction.,bullish_marubozu_v0,1,1,walk_forward,66.48,59.56,2.82,2.82,-19.05,3.49,41.9,88.9,7,148,1.28,5.2036,0.0,"",0.0,0.0,0.0,0.0,6.5047,18.31,1
adx_trend_high_margin,ADX Trend Strength (High Margin (NPM)),multi_factor,Trends with stronger ADX are more likely to continue. This effect is stronger among high-margin companies.,adx_trend_high_margin_period20_threshold20_min15,18,18,walk_forward,71.39,63.86,3.19,3.19,-23.04,3.1,40.4,88.9,8,146,1.27,5.1506,0.396,"",0.0,0.0,0.0,0.0,-inf,-2.61,1
donchian_breakout_quality_roe,Donchian Breakout (Quality (ROE)),multi_factor,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter. This effect is stronger among high-ROE stocks.,donchian_breakout_quality_roe_period20_min16,9,9,walk_forward,86.4,76.97,2.39,2.39,-15.42,5.6,41.2,88.9,6,153,1.36,5.0815,0.295,"",0.0,0.0,0.0,0.0,6.3574,16.86,1
ema_crossover_largecap,EMA Crossover Trend (Large Cap),trend,EMA crossovers capture trend accelerations earlier than SMA-based signals. This effect is stronger in large-cap stocks.,ema_crossover_largecap_shortPeriod8_longPeriod20,4,4,walk_forward,71.58,64.03,3.85,3.85,-20.85,3.43,44.1,100.0,7,111,1.62,4.9957,0.269,"",0.0,0.0,0.0,0.0,6.7113,17.49,1
